"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","SHELL_TEXT","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","SNOW",1989,"EBS","ALL",140350,"new_hardshell","male",137357114.76734,0.141483494899246,38090178.7072576,56451.5093500905,0.14001248486297,15491.6755528078,124454274.550719,0.14001248486297,34153298.3740622
"2","SNOW",1990,"EBS","ALL",140350,"new_hardshell","male",381237007.137359,0.191055364138517,142761255.434545,156658.59479633,0.190676137074469,58547.2691627461,345373081.995033,0.190676137074469,129074634.043661
"3","SNOW",1991,"EBS","ALL",140350,"new_hardshell","male",144889832.606088,0.22829995303257,64833550.2785791,58796.1649730307,0.2189895218919,25236.4583507817,129623355.377498,0.2189895218919,55636866.9754783
"4","SNOW",1992,"EBS","ALL",133132,"new_hardshell","male",65253004.461384,0.130853757232866,16735657.5768299,27365.0839198172,0.131385411364529,7046.93070334687,60329683.0584198,0.131385411364529,15535822.8431994
"5","SNOW",1993,"EBS","ALL",140350,"new_hardshell","male",44443621.3251264,0.126783536178564,11044050.1654739,18590.827543218,0.126834631967696,4621.60310806116,40985758.9606682,0.126834631967696,10188890.7612384
"6","SNOW",1994,"EBS","ALL",140350,"new_hardshell","male",21604881.6112477,0.191479276033248,8108298.69582323,9044.52220740023,0.193991333631508,3438.93549314379,19939758.2622484,0.193991333631508,7581554.98326355
"7","SNOW",1995,"EBS","ALL",140350,"new_hardshell","male",58066746.6015116,0.260686804939785,29668979.9038005,23662.2912855057,0.260907632234876,12100.3978894044,52166422.6528017,0.260907632234876,26676810.9203524
"8","SNOW",1996,"EBS","ALL",140350,"new_hardshell","male",155074711.656033,0.168420747534123,51190885.7670657,63231.5353417636,0.168994718168809,20944.1591691464,139401673.228684,0.168994718168809,46173967.0999021
"9","SNOW",1997,"EBS","ALL",140350,"new_hardshell","male",113000617.008815,0.125874549511051,27878847.4504926,46705.8490015435,0.126538009589385,11583.7277309218,102968771.281457,0.126538009589385,25537748.2009275
"10","SNOW",1998,"EBS","ALL",140350,"new_hardshell","male",87359007.6690304,0.115494472108836,19775385.6503854,36366.5752205414,0.115370093406669,8223.40575294607,80174574.4103716,0.115370093406669,18129506.3515865
"11","SNOW",1999,"EBS","ALL",140350,"new_hardshell","male",15653163.7217193,0.142132016030406,4360638.80536306,6486.10936683397,0.142428709459324,1810.66404559919,14299423.4379076,0.142428709459324,3991830.91549624
"12","SNOW",2000,"EBS","ALL",140350,"new_hardshell","male",8185816.8407255,0.192668194622044,3091207.24233024,3392.59994774989,0.191344789205176,1272.346390845,7479402.59169246,0.191344789205176,2805043.63608455
"13","SNOW",2001,"EBS","ALL",140350,"new_hardshell","male",26938949.888357,0.256501089071463,13543345.1702181,11100.8286835785,0.255691706348216,5563.24406284747,24473138.0370851,0.255691706348216,12264853.7118196
"14","SNOW",2002,"EBS","ALL",140350,"new_hardshell","male",37253718.5584042,0.336277572180487,24554076.46177,15302.6430914628,0.339130780189891,10171.6106895274,33736553.1335171,0.339130780189891,22424563.0267712
"15","SNOW",2003,"EBS","ALL",140350,"new_hardshell","male",32744083.8787938,0.168283099035348,10800140.7839857,13435.652265609,0.167384457136956,4407.88194708937,29620542.9240557,0.167384457136957,9717716.25499217
"16","SNOW",2004,"EBS","ALL",140350,"new_hardshell","male",16867934.2832006,0.175936245231618,5816654.80429601,7033.74450645359,0.177423681910905,2445.98758199297,15506752.2552323,0.177423681910905,5392479.55602294
"17","SNOW",2005,"EBS","ALL",140350,"new_hardshell","male",21671488.5904899,0.151038699267605,6415537.55788467,8888.26443687829,0.149300211677192,2600.95873326281,19595268.8465161,0.149300211677192,5734132.4618464
"18","SNOW",2006,"EBS","ALL",140350,"new_hardshell","male",16655584.6139347,0.353899590019323,11553032.9501511,6864.64983109177,0.359702661455539,4839.69631583988,15133962.3086955,0.359702661455539,10669703.9807789
"19","SNOW",2007,"EBS","ALL",140350,"new_hardshell","male",66379459.1847978,0.157173848557412,20448905.5278593,27844.1435973359,0.15717525517307,8577.76433497425,61385828.8606932,0.15717525517307,18910733.2977721
"20","SNOW",2009,"EBS","ALL",140350,"new_hardshell","male",48511676.8863467,0.131402037775627,12494085.0696063,19974.8183887646,0.132299989006221,5179.62977634022,44036936.4871917,0.132299989006221,11419128.9777213
"21","SNOW",2010,"EBS","ALL",140350,"new_hardshell","male",50291509.7417204,0.168841816252756,16642967.2998951,20951.8474923181,0.167302231284503,6870.37003659497,46190916.9510905,0.167302231284503,15146573.2031494
"22","SNOW",2011,"EBS","ALL",140350,"new_hardshell","male",37189379.7732377,0.214095212621108,15605653.6128049,15466.4838832538,0.210287894077984,6374.73207621702,34097760.2494812,0.210287894077984,14053878.5434532
"23","SNOW",2012,"EBS","ALL",140350,"new_hardshell","male",20410048.2969545,0.195735718779244,7830151.92849802,8351.78602583789,0.194820139663227,3189.10839518261,18412536.4054029,0.194820139663227,7030780.51154751
"24","SNOW",2013,"EBS","ALL",140350,"new_hardshell","male",42167077.4352273,0.143964077161404,11898267.0035297,17557.1223089344,0.144429400276154,4970.09870548278,38706829.0168429,0.144429400276154,10957192.0389288
"25","SNOW",2015,"EBS","ALL",140350,"new_hardshell","male",19125155.2044338,0.153024918667217,5736185.62652651,7912.8005781252,0.15369590428223,2383.68347890941,17444739.1567131,0.15369590428223,5255122.52093093
"26","SNOW",2017,"EBS","ALL",140350,"new_hardshell","male",20205848.8755182,0.154864630816414,6133175.79982118,8431.04281870699,0.155167230135205,2564.11426020695,18587267.7238973,0.155167230135205,5652904.30305734
"27","SNOW",2018,"EBS","ALL",140350,"new_hardshell","male",58801537.3527457,0.255048224205698,29394566.2574703,24200.5272754378,0.25422943601628,12058.8733450411,53353029.8920991,0.25422943601628,26585264.9704871
"28","SNOW",2019,"EBS","ALL",140350,"new_hardshell","male",79461609.0297967,0.210527379310862,32788534.8375402,32387.2900915892,0.209840730930351,13320.4983463179,71401752.3962971,0.209840730930351,29366671.988592
"29","SNOW",2021,"EBS","ALL",140350,"new_hardshell","male",28298046.4059305,0.189257595463021,10497015.6294113,11547.2885932283,0.191327443205674,4330.2538769008,25457413.6536476,0.191327443205674,9546575.65536398
"30","SNOW",2022,"EBS","ALL",140350,"new_hardshell","male",11157041.0286634,0.282880117712679,6185965.95584643,4698.5105218445,0.284150200971908,2616.76210973945,10358442.585453,0.284150200971908,5768972.94312837
"31","SNOW",2023,"EBS","ALL",140350,"new_hardshell","male",7601057.32486881,0.168748171986303,2514022.47632004,3182.70070541064,0.169174226398566,1055.32462220419,7016653.97372242,0.169174226398566,2326592.53550539
"32","SNOW",2024,"EBS","ALL",140350,"new_hardshell","male",11185177.3612482,0.157450122362021,3451770.78657209,4609.53828678398,0.157448096855481,1422.49554004776,10162292.3833221,0.157448096855481,3136065.84706832
"33","SNOW",2025,"EBS","ALL",140350,"new_hardshell","male",28043843.6469616,0.202372325633382,11123583.8027278,11522.9162911657,0.201045641618303,4540.59891417996,25403681.9251741,0.201045641618303,10010307.0829432
