"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","SHELL_TEXT","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","SNOW",1989,"EBS","ALL",140350,"new_hardshell","male",614357728.783673,0.160469675198208,193228138.979112,53605.6693134482,0.160486991004433,16861.9046350322,118180271.227774,0.160486991004433,37174136.4058492
"2","SNOW",1990,"EBS","ALL",140350,"new_hardshell","male",479420176.078229,0.178992839922341,168193046.511329,40934.7803786143,0.178894158456747,14353.0664513901,90245742.8431055,0.178894158456747,31643094.9916338
"3","SNOW",1991,"EBS","ALL",140350,"new_hardshell","male",689386287.221467,0.440225213357318,594831041.740253,58229.4404796166,0.434069391514954,49540.2108825971,128373941.738961,0.434069391514954,109217469.602934
"4","SNOW",1992,"EBS","ALL",133132,"new_hardshell","male",300121621.421488,0.18059006431838,106230006.515052,25886.1045587605,0.182739417418565,9271.60686595575,57069091.7017869,0.182739417418565,20440394.2375747
"5","SNOW",1993,"EBS","ALL",140350,"new_hardshell","male",914544674.045655,0.236879809944123,424608850.403757,75925.2573023358,0.235059750848745,34980.0652466433,167386539.81842,0.235059750848745,77117843.1564969
"6","SNOW",1994,"EBS","ALL",140350,"new_hardshell","male",907317212.226664,0.156211732606987,277797843.742294,76653.4643690828,0.157164200182479,23612.4736208147,168991961.591161,0.157164200182479,52056593.5022562
"7","SNOW",1995,"EBS","ALL",140350,"new_hardshell","male",1030251984.32777,0.134320190527639,271231939.939713,88878.6156282013,0.133225451287714,23208.151606713,195943806.612537,0.133225451287714,51165216.0434561
"8","SNOW",1996,"EBS","ALL",140350,"new_hardshell","male",502063214.438032,0.141166926277107,138914452.726881,44364.218601983,0.141271845673647,12284.1334857917,97806359.9305771,0.141271845673647,27081878.5725867
"9","SNOW",1997,"EBS","ALL",140350,"new_hardshell","male",151370823.052644,0.266980985656363,79209737.8148915,13341.536780759,0.261428643540213,6836.20533213792,29413053.797089,0.261428643540213,15071252.9228346
"10","SNOW",1998,"EBS","ALL",140350,"new_hardshell","male",132506055.488207,0.253050785827419,65720292.4776374,11288.3513954424,0.247854453103718,5483.82159665754,24886554.8497708,0.247854453103718,12089757.1461742
"11","SNOW",1999,"EBS","ALL",140350,"new_hardshell","male",88995685.9382245,0.196910559386211,34347412.9900685,7602.71481356692,0.195585747409107,2914.48601193356,16761117.0654546,0.195585747409107,6425341.79297061
"12","SNOW",2000,"EBS","ALL",140350,"new_hardshell","male",242814325.435162,0.216269639023087,102926198.362534,19985.2949361621,0.213475519356023,8362.08758332179,44060033.3205832,0.213475519356023,18435247.4520722
"13","SNOW",2001,"EBS","ALL",140350,"new_hardshell","male",412917970.441871,0.218814410584887,177090708.551406,36039.3125341166,0.218090216830916,15405.2501106052,79453083.6885926,0.218090216830916,33962762.8890789
"14","SNOW",2002,"EBS","ALL",140350,"new_hardshell","male",107458496.344901,0.38939277204019,82013381.0711829,9357.98284058325,0.40321063536645,7395.54688552382,20630820.6652227,0.40321063536645,16304389.9647693
"15","SNOW",2003,"EBS","ALL",140350,"new_hardshell","male",165742538.923778,0.260343964361661,84574136.5076951,13924.6776946383,0.259321450679968,7077.49653524819,30698659.447553,0.259321450679968,15603208.9676647
"16","SNOW",2004,"EBS","ALL",140350,"new_hardshell","male",292123547.757147,0.214407689118784,122761728.23111,25603.0864937216,0.218212717067697,10950.361375464,56445143.6732102,0.218212717067697,24141414.4057672
"17","SNOW",2005,"EBS","ALL",140350,"new_hardshell","male",585432322.212212,0.259617392464666,297897289.396247,52164.5580265067,0.261658342254793,26752.6118842325,115003164.683981,0.261658342254793,58979413.3535201
"18","SNOW",2006,"EBS","ALL",140350,"new_hardshell","male",233743983.55289,0.185437536848184,84956020.7837355,20632.2675778487,0.191199358035295,7731.95757876633,45486363.8421627,0.191199358035295,17046048.5893235
"19","SNOW",2007,"EBS","ALL",140350,"new_hardshell","male",307548488.34718,0.170952488219039,103049311.488671,25615.8351443001,0.167303872675366,8399.83170605208,56473249.6366734,0.167303872675366,18518458.9988852
"20","SNOW",2009,"EBS","ALL",140350,"new_hardshell","male",135082317.171951,0.188916966225885,50017909.4397398,11429.6552741724,0.185122121276304,4147.12877843091,25198076.5773739,0.185122121276304,9142853.92064896
"21","SNOW",2010,"EBS","ALL",140350,"new_hardshell","male",317138821.524576,0.159571975245974,99188677.6286002,26247.119551523,0.159763163907812,8218.91281151513,57864993.5216576,0.159763163907812,18119601.1112692
"22","SNOW",2011,"EBS","ALL",140350,"new_hardshell","male",534685278.204732,0.197105459216854,206563199.102189,45732.2933960314,0.203542073294661,18244.553796122,100822448.569917,0.203542073294661,40222356.024468
"23","SNOW",2012,"EBS","ALL",140350,"new_hardshell","male",312907053.535296,0.184556248061137,113187945.512986,27289.0269610519,0.186115487105027,9954.66466913764,60162006.1665769,0.186115487105027,21946278.9224998
"24","SNOW",2013,"EBS","ALL",140350,"new_hardshell","male",193875604.540569,0.158710870219795,60309525.1856043,16237.421367032,0.158440311933006,5042.41772850521,35797386.4662498,0.158440311933006,11116628.193074
"25","SNOW",2015,"EBS","ALL",140350,"new_hardshell","male",177943255.58236,0.259561864444393,90527075.0411546,15157.1476490439,0.258287164039871,7673.19749516211,33415790.5897846,0.258287164039871,16916504.7797479
"26","SNOW",2017,"EBS","ALL",140350,"new_hardshell","male",580860867.470219,0.22951331161202,261297990.506684,48041.0202698639,0.229616017965827,21620.7360358282,105912320.063639,0.229616017965827,47665563.7656084
"27","SNOW",2018,"EBS","ALL",140350,"new_hardshell","male",1712654245.81084,0.183074848987554,614546078.142635,141933.647998262,0.180579884500523,50235.5090540374,312910131.178493,0.180579884500523,110750339.680621
"28","SNOW",2019,"EBS","ALL",140350,"new_hardshell","male",495808040.595848,0.229378079900417,222905892.848085,44024.5981104237,0.227087068252129,19594.9371551137,97057624.912042,0.227087068252129,43199441.7258691
"29","SNOW",2021,"EBS","ALL",140350,"new_hardshell","male",9110168.61977258,0.255668807250834,4565204.45194761,814.390234377654,0.249448377649641,398.170712568865,1795423.13372172,0.249448377649641,877816.160286976
"30","SNOW",2022,"EBS","ALL",140350,"new_hardshell","male",59328033.7659138,0.360824260618924,41957708.0784184,4904.94244456066,0.366357584003621,3522.04721278548,10813547.0721448,0.366357584003621,7764784.96052638
"31","SNOW",2023,"EBS","ALL",140350,"new_hardshell","male",111276083.578414,0.272810269184829,59500226.2971267,9158.31874436584,0.270471545079647,4855.04665739623,20190636.6819308,0.270471545079647,10703545.6910271
"32","SNOW",2024,"EBS","ALL",140350,"new_hardshell","male",441910975.329046,0.185919049985708,161032950.67441,37480.1817101771,0.182965413330071,13440.8507990459,82629656.4692602,0.182965413330071,29632003.7284712
"33","SNOW",2025,"EBS","ALL",140350,"new_hardshell","male",761539461.414467,0.16072385845641,239899218.786485,66594.4968643235,0.162053033790461,21152.0068912015,146815734.277727,0.162053033790461,46632192.8898445
