"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE"
"1","SNOW","EBS","ALL",1989,5,0,0,0,0
"2","SNOW","EBS","ALL",1989,15,0,0,0,0
"3","SNOW","EBS","ALL",1989,25,1,0,1,0
"4","SNOW","EBS","ALL",1989,35,182.4007,0,182.4007,0
"5","SNOW","EBS","ALL",1989,45,1179.9604,27.5357,1207.4961,0.022803966
"6","SNOW","EBS","ALL",1989,55,1102.576,165.4949,1268.0709,0.130509185
"7","SNOW","EBS","ALL",1989,65,910.6583,188.2494,1098.9077,0.171305925
"8","SNOW","EBS","ALL",1989,75,1462.7453,229.4728,1692.2181,0.135604743
"9","SNOW","EBS","ALL",1989,85,796.7718,371.5487,1168.3205,0.318019499
"10","SNOW","EBS","ALL",1989,95,234.7517,316.969,551.7207,0.574509892
"11","SNOW","EBS","ALL",1989,105,49.2443,379.2608,428.5051,0.885078847
"12","SNOW","EBS","ALL",1989,115,6.7605,195.1941,201.9546,0.966524655
"13","SNOW","EBS","ALL",1989,125,1,65.4497,66.4497,0.984951023
"14","SNOW","EBS","ALL",1989,135,0,13,13,1
"15","SNOW","EBS","ALL",1989,145,0,0,0,1
"16","SNOW","EBS","ALL",1989,155,0,0,0,1
"17","SNOW","EBS","ALL",1989,165,0,0,0,1
"18","SNOW","EBS","ALL",1989,175,0,0,0,1
"19","SNOW","EBS","ALL",1989,185,0,0,0,1
"20","SNOW","EBS","ALL",1989,195,0,0,0,1
"21","SNOW","EBS","ALL",1990,5,48.4313,8.037,56.4683,0
"22","SNOW","EBS","ALL",1990,15,8.037,0,8.037,0
"23","SNOW","EBS","ALL",1990,25,3,3,6,0
"24","SNOW","EBS","ALL",1990,35,564.2375,0,564.2375,0
"25","SNOW","EBS","ALL",1990,45,1316.3764,5.9716,1322.348,0.004515907
"26","SNOW","EBS","ALL",1990,55,2560.5663,205.1883,2765.7546,0.074188903
"27","SNOW","EBS","ALL",1990,65,2119.717,278.9489,2398.6659,0.116293353
"28","SNOW","EBS","ALL",1990,75,972.4215,497.4557,1469.8772,0.33843351
"29","SNOW","EBS","ALL",1990,85,744.4128,393.9624,1138.3752,0.3460743
"30","SNOW","EBS","ALL",1990,95,693.1012,376.7261,1069.8273,0.352137303
"31","SNOW","EBS","ALL",1990,105,218.5,317.6346,536.1346,0.592453089
"32","SNOW","EBS","ALL",1990,115,13.4455,142.1524,155.5979,0.913588165
"33","SNOW","EBS","ALL",1990,125,0,99.9065,99.9065,1
"34","SNOW","EBS","ALL",1990,135,0,7.7006,7.7006,1
"35","SNOW","EBS","ALL",1990,145,0,0,0,1
"36","SNOW","EBS","ALL",1990,155,0,0,0,1
"37","SNOW","EBS","ALL",1990,165,0,0,0,1
"38","SNOW","EBS","ALL",1990,175,0,0,0,1
"39","SNOW","EBS","ALL",1990,185,0,0,0,1
"40","SNOW","EBS","ALL",1990,195,0,0,0,1
"41","SNOW","EBS","ALL",1991,5,0,0,0,0
"42","SNOW","EBS","ALL",1991,15,15.5608,0,15.5608,0
"43","SNOW","EBS","ALL",1991,25,37.7706,4.5942,42.3648,0
"44","SNOW","EBS","ALL",1991,35,163.6403,0,163.6403,0
"45","SNOW","EBS","ALL",1991,45,1790.4761,4.7764,1795.2525,0.002660573
"46","SNOW","EBS","ALL",1991,55,2706.1146,147.9695,2854.0841,0.051844828
"47","SNOW","EBS","ALL",1991,65,2114.5343,419.8917,2534.426,0.165675265
"48","SNOW","EBS","ALL",1991,75,1025.3924,348.4528,1373.8452,0.253633233
"49","SNOW","EBS","ALL",1991,85,1207.5287,422.9483,1630.477,0.259401574
"50","SNOW","EBS","ALL",1991,95,1100.8467,425.5997,1526.4464,0.278817324
"51","SNOW","EBS","ALL",1991,105,201.4482,459.2657,660.7139,0.695105249
"52","SNOW","EBS","ALL",1991,115,15.8253,582.4308,598.2561,0.973547616
"53","SNOW","EBS","ALL",1991,125,11.5385,258.8233,270.3618,0.957322003
"54","SNOW","EBS","ALL",1991,135,0,36.0209,36.0209,1
"55","SNOW","EBS","ALL",1991,145,0,0,0,1
"56","SNOW","EBS","ALL",1991,155,0,0,0,1
"57","SNOW","EBS","ALL",1991,165,0,0,0,1
"58","SNOW","EBS","ALL",1991,175,0,0,0,1
"59","SNOW","EBS","ALL",1991,185,0,0,0,1
"60","SNOW","EBS","ALL",1991,195,0,0,0,1
"61","SNOW","EBS","ALL",1992,5,0,0,0,0
"62","SNOW","EBS","ALL",1992,15,7.9344,0,7.9344,0
"63","SNOW","EBS","ALL",1992,25,640.2555,0,640.2555,0
"64","SNOW","EBS","ALL",1992,35,490.0306,20.0978,510.1284,0
"65","SNOW","EBS","ALL",1992,45,1410.2644,20.8271,1431.0915,0.014553297
"66","SNOW","EBS","ALL",1992,55,1332.3912,301.5435,1633.9347,0.184550521
"67","SNOW","EBS","ALL",1992,65,1160.6172,363.3392,1523.9564,0.238418369
"68","SNOW","EBS","ALL",1992,75,894.2518,572.2183,1466.4701,0.390201137
"69","SNOW","EBS","ALL",1992,85,712.3583,628.4479,1340.8062,0.468708975
"70","SNOW","EBS","ALL",1992,95,325.4722,404.6252,730.0974,0.554207151
"71","SNOW","EBS","ALL",1992,105,78.0923,497.9816,576.0739,0.864440482
"72","SNOW","EBS","ALL",1992,115,17.9832,655.8822,673.8654,0.973313365
"73","SNOW","EBS","ALL",1992,125,2.7219,252.6881,255.41,0.989343017
"74","SNOW","EBS","ALL",1992,135,1.259,20.9651,22.2241,1
"75","SNOW","EBS","ALL",1992,145,0,0,0,1
"76","SNOW","EBS","ALL",1992,155,0,0,0,1
"77","SNOW","EBS","ALL",1992,165,0,0,0,1
"78","SNOW","EBS","ALL",1992,175,0,0,0,1
"79","SNOW","EBS","ALL",1992,185,0,0,0,1
"80","SNOW","EBS","ALL",1992,195,0,0,0,1
"81","SNOW","EBS","ALL",1993,5,0,0,0,0
"82","SNOW","EBS","ALL",1993,15,0,0,0,0
"83","SNOW","EBS","ALL",1993,25,70.2389,29.65,99.8889,0
"84","SNOW","EBS","ALL",1993,35,1093.2391,0,1093.2391,0
"85","SNOW","EBS","ALL",1993,45,1927.7667,36.5662,1964.3329,0.018615073
"86","SNOW","EBS","ALL",1993,55,1972.1097,199.8063,2171.916,0.091995409
"87","SNOW","EBS","ALL",1993,65,1693.4208,656.5582,2349.979,0.279388965
"88","SNOW","EBS","ALL",1993,75,447.2281,811.0449,1258.273,0.644569899
"89","SNOW","EBS","ALL",1993,85,182.0928,366.1001,548.1929,0.667830795
"90","SNOW","EBS","ALL",1993,95,103.1189,270.6736,373.7925,0.724127959
"91","SNOW","EBS","ALL",1993,105,26.2872,240.8601,267.1473,0.901600353
"92","SNOW","EBS","ALL",1993,115,13.3295,229.8869,243.2164,0.945194896
"93","SNOW","EBS","ALL",1993,125,2,102.0256,104.0256,0.980773963
"94","SNOW","EBS","ALL",1993,135,0,12.7624,12.7624,1
"95","SNOW","EBS","ALL",1993,145,0,0,0,1
"96","SNOW","EBS","ALL",1993,155,0,0,0,1
"97","SNOW","EBS","ALL",1993,165,0,0,0,1
"98","SNOW","EBS","ALL",1993,175,0,0,0,1
"99","SNOW","EBS","ALL",1993,185,0,0,0,1
"100","SNOW","EBS","ALL",1993,195,0,0,0,1
"101","SNOW","EBS","ALL",1994,5,0,0,0,0
"102","SNOW","EBS","ALL",1994,15,1,0,1,0
"103","SNOW","EBS","ALL",1994,25,1,13.9174,14.9174,0
"104","SNOW","EBS","ALL",1994,35,215.0237,0,215.0237,0
"105","SNOW","EBS","ALL",1994,45,1281.4351,51.5065,1332.9416,0.038641228
"106","SNOW","EBS","ALL",1994,55,3208.979,352.119,3561.098,0.098879334
"107","SNOW","EBS","ALL",1994,65,3283.0505,1016.0022,4299.0527,0.236331646
"108","SNOW","EBS","ALL",1994,75,1347.5561,1068.2045,2415.7606,0.44218144
"109","SNOW","EBS","ALL",1994,85,426.9993,463.2241,890.2234,0.520345904
"110","SNOW","EBS","ALL",1994,95,123.5264,125.6785,249.2049,0.504317933
"111","SNOW","EBS","ALL",1994,105,16.0691,64.6314,80.7005,0.800879796
"112","SNOW","EBS","ALL",1994,115,4,49.9321,53.9321,0.925832667
"113","SNOW","EBS","ALL",1994,125,0,14.8157,14.8157,1
"114","SNOW","EBS","ALL",1994,135,0,1,1,1
"115","SNOW","EBS","ALL",1994,145,0,0,0,1
"116","SNOW","EBS","ALL",1994,155,0,0,0,1
"117","SNOW","EBS","ALL",1994,165,0,0,0,1
"118","SNOW","EBS","ALL",1994,175,0,0,0,1
"119","SNOW","EBS","ALL",1994,185,0,0,0,1
"120","SNOW","EBS","ALL",1994,195,0,0,0,1
"121","SNOW","EBS","ALL",1995,5,0,0,0,0
"122","SNOW","EBS","ALL",1995,15,0,0,0,0
"123","SNOW","EBS","ALL",1995,25,0,0,0,0
"124","SNOW","EBS","ALL",1995,35,0,0,0,0
"125","SNOW","EBS","ALL",1995,45,540.2564,10.5026,550.759,0.019069321
"126","SNOW","EBS","ALL",1995,55,2298.1118,268.1408,2566.2526,0.104487298
"127","SNOW","EBS","ALL",1995,65,3323.6477,747.0422,4070.6899,0.183517344
"128","SNOW","EBS","ALL",1995,75,2745.0034,1599.7279,4344.7313,0.368199502
"129","SNOW","EBS","ALL",1995,85,1020.2756,968.2899,1988.5655,0.486928844
"130","SNOW","EBS","ALL",1995,95,324.2993,672.3176,996.6169,0.674599839
"131","SNOW","EBS","ALL",1995,105,51.3637,241.393,292.7567,0.824551582
"132","SNOW","EBS","ALL",1995,115,6.2905,109.1145,115.405,0.945491963
"133","SNOW","EBS","ALL",1995,125,2.4492,48.2166,50.6658,0.951659699
"134","SNOW","EBS","ALL",1995,135,0,5.7817,5.7817,1
"135","SNOW","EBS","ALL",1995,145,0,0,0,1
"136","SNOW","EBS","ALL",1995,155,0,0,0,1
"137","SNOW","EBS","ALL",1995,165,0,0,0,1
"138","SNOW","EBS","ALL",1995,175,0,0,0,1
"139","SNOW","EBS","ALL",1995,185,0,0,0,1
"140","SNOW","EBS","ALL",1995,195,0,0,0,1
"141","SNOW","EBS","ALL",1996,5,0,0,0,0
"142","SNOW","EBS","ALL",1996,15,0,0,0,0
"143","SNOW","EBS","ALL",1996,25,0,0,0,0
"144","SNOW","EBS","ALL",1996,35,1,0,1,0
"145","SNOW","EBS","ALL",1996,45,25.1894,0,25.1894,0
"146","SNOW","EBS","ALL",1996,55,415.1234,59.4987,474.6221,0.125360155
"147","SNOW","EBS","ALL",1996,65,1086.0197,235.394,1321.4137,0.178138005
"148","SNOW","EBS","ALL",1996,75,1288.015,636.6465,1924.6615,0.330783621
"149","SNOW","EBS","ALL",1996,85,1073.1086,710.0699,1783.1785,0.39820461
"150","SNOW","EBS","ALL",1996,95,693.9928,647.1029,1341.0957,0.482518063
"151","SNOW","EBS","ALL",1996,105,64.7717,520.487,585.2587,0.889328087
"152","SNOW","EBS","ALL",1996,115,10.6876,162.2877,172.9753,0.938213144
"153","SNOW","EBS","ALL",1996,125,0,29.0709,29.0709,1
"154","SNOW","EBS","ALL",1996,135,0,1,1,1
"155","SNOW","EBS","ALL",1996,145,0,0,0,1
"156","SNOW","EBS","ALL",1996,155,0,0,0,1
"157","SNOW","EBS","ALL",1996,165,0,0,0,1
"158","SNOW","EBS","ALL",1996,175,0,0,0,1
"159","SNOW","EBS","ALL",1996,185,0,0,0,1
"160","SNOW","EBS","ALL",1996,195,0,0,0,1
"161","SNOW","EBS","ALL",1997,5,0,0,0,0
"162","SNOW","EBS","ALL",1997,15,0,0,0,0
"163","SNOW","EBS","ALL",1997,25,5.8969,0,5.8969,0
"164","SNOW","EBS","ALL",1997,35,21.2152,1,22.2152,0
"165","SNOW","EBS","ALL",1997,45,231.4359,2,233.4359,0.008567662
"166","SNOW","EBS","ALL",1997,55,649.2624,75.3338,724.5962,0.103966595
"167","SNOW","EBS","ALL",1997,65,1072.6997,220.4335,1293.1332,0.170464651
"168","SNOW","EBS","ALL",1997,75,1279.9508,443.9492,1723.9,0.257526075
"169","SNOW","EBS","ALL",1997,85,1079.1715,335.5248,1414.6963,0.237170904
"170","SNOW","EBS","ALL",1997,95,880.5936,547.9191,1428.5127,0.383559138
