"","SPECIES","SIZE","YEAR","REGION","DISTRICT","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"1","SNOW",1,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,6.82306551225512e-05
"2","SNOW",6,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.000116491258679744
"3","SNOW",11,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.000198880548383107
"4","SNOW",16,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.000339520475970488
"5","SNOW",21,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.000579557371765398
"6","SNOW",26,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.000989129552408685
"7","SNOW",31,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.00168765691119317
"8","SNOW",36,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.00287806600020345
"9","SNOW",41,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.00490401973339619
"10","SNOW",46,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.00834416658747343
"11","SNOW",51,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.0141632125622442
"12","SNOW",56,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.0239423610392524
"13","SNOW",61,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.0401983085625974
"14","SNOW",66,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.0667367697539973
"15","SNOW",71,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.108809392365679
"16","SNOW",76,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.1725031044501
"17","SNOW",81,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.262499115986287
"18","SNOW",86,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.377999265168356
"19","SNOW",91,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.509229333441863
"20","SNOW",96,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.639199647426438
"21","SNOW",101,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.751543745664171
"22","SNOW",106,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.837784223864538
"23","SNOW",111,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.89814705239812
"24","SNOW",116,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.937717852405102
"25","SNOW",121,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.962555966289977
"26","SNOW",126,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.977723952554632
"27","SNOW",131,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.986831684997131
"28","SNOW",136,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.992245186378902
"29","SNOW",141,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.995443470272396
"30","SNOW",146,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.997326254295264
"31","SNOW",151,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.998432286469543
"32","SNOW",156,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999081214515231
"33","SNOW",161,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999461674788259
"34","SNOW",166,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999684639833749
"35","SNOW",171,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999815273659925
"36","SNOW",176,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999891799988292
"37","SNOW",181,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999936625868711
"38","SNOW",186,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999962881649816
"39","SNOW",191,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999978259947639
"40","SNOW",196,1989,"EBS","ALL",0.10699411,0.01022512,90.65492,1.0145028,0.999987267029301
"41","SNOW",1,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.00107994616551566
"42","SNOW",6,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.00155319790106563
"43","SNOW",11,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.00223337334186637
"44","SNOW",16,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0032104530212332
"45","SNOW",21,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.00461301949456363
"46","SNOW",26,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.00662426004980874
"47","SNOW",31,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0095040132642533
"48","SNOW",36,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0136185138091944
"49","SNOW",41,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0194792434207371
"50","SNOW",46,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0277910775043046
"51","SNOW",51,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.039506687582911
"52","SNOW",56,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0558772744143151
"53","SNOW",61,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0784771729691686
"54","SNOW",66,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.109160878689743
"55","SNOW",71,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.149890204517576
"56","SNOW",76,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.202364079245466
"57","SNOW",81,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.267429195493677
"58","SNOW",86,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.344382065425949
"59","SNOW",91,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.430466559877539
"60","SNOW",96,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.52097038963909
"61","SNOW",101,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.610118283557952
"62","SNOW",106,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.692469110172884
"63","SNOW",111,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.764149756453309
"64","SNOW",116,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.823384087350329
"65","SNOW",121,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.870267279438084
"66","SNOW",126,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.906124110102931
"67","SNOW",131,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.932835331192337
"68","SNOW",136,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.952345916121421
"69","SNOW",141,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.966393079203663
"70","SNOW",146,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.976402112203488
"71","SNOW",151,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.983481143917033
"72","SNOW",156,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.988461661611798
"73","SNOW",161,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.991952815352016
"74","SNOW",166,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.994393642325448
"75","SNOW",171,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.996097044280214
"76","SNOW",176,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.997284308277054
"77","SNOW",181,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.998111096041155
"78","SNOW",186,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.998686501191685
"79","SNOW",191,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.99908678459713
"80","SNOW",196,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.999365160809646
"81","SNOW",1,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000156922586560938
"82","SNOW",6,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000247903251574273
"83","SNOW",11,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000391612077123086
"84","SNOW",16,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00061857696426127
"85","SNOW",21,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000976954331700517
"86","SNOW",26,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00154263991514665
"87","SNOW",31,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00243507587190456
"88","SNOW",36,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00384181035213297
"89","SNOW",41,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00605627648805274
"90","SNOW",46,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00953496998886266
"91","SNOW",51,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0149816888558366
"92","SNOW",56,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0234660557849222
"93","SNOW",61,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0365768351366358
"94","SNOW",66,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0565882922117569
"95","SNOW",71,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0865644404132312
"96","SNOW",76,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.130227725818809
