"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE"
"1","TANNER","EBS","ALL",1990,5,0,0,0,0
"2","TANNER","EBS","ALL",1990,15,0,2,2,0
"3","TANNER","EBS","ALL",1990,25,3.1667,9.1667,12.3334,0
"4","TANNER","EBS","ALL",1990,35,55.7296,99.4592,155.1888,0
"5","TANNER","EBS","ALL",1990,45,114.0841,120.2736,234.3577,0
"6","TANNER","EBS","ALL",1990,55,69.8335,27.6668,97.5003,0
"7","TANNER","EBS","ALL",1990,65,136.2171,18.1592,154.3763,0.117629455
"8","TANNER","EBS","ALL",1990,75,156.4972,27.842,184.3392,0.151036784
"9","TANNER","EBS","ALL",1990,85,177.8649,54.5435,232.4084,0.234688161
"10","TANNER","EBS","ALL",1990,95,131.5807,61.3444,192.9251,0.317970031
"11","TANNER","EBS","ALL",1990,105,112.6856,64.7127,177.3983,0.364787599
"12","TANNER","EBS","ALL",1990,115,58.4198,78.0663,136.4861,0.571972531
"13","TANNER","EBS","ALL",1990,125,50,101.4125,151.4125,0.669776273
"14","TANNER","EBS","ALL",1990,135,37,123.8752,160.8752,0.770008056
"15","TANNER","EBS","ALL",1990,145,13,95.9573,108.9573,1
"16","TANNER","EBS","ALL",1990,155,0,100.1431,100.1431,1
"17","TANNER","EBS","ALL",1990,165,0,68.7051,68.7051,1
"18","TANNER","EBS","ALL",1990,175,0,21,21,1
"19","TANNER","EBS","ALL",1990,185,0,0,0,1
"20","TANNER","EBS","ALL",1990,195,0,0,0,1
"21","TANNER","EBS","ALL",1991,5,0,0,0,0
"22","TANNER","EBS","ALL",1991,15,0,0,0,0
"23","TANNER","EBS","ALL",1991,25,5,8,13,0
"24","TANNER","EBS","ALL",1991,35,12,24,36,0
"25","TANNER","EBS","ALL",1991,45,46.6956,28.6956,75.3912,0
"26","TANNER","EBS","ALL",1991,55,115.3291,13,128.3291,0
"27","TANNER","EBS","ALL",1991,65,99.9175,12.85,112.7675,0.113951271
"28","TANNER","EBS","ALL",1991,75,263.0296,28,291.0296,0.096210145
"29","TANNER","EBS","ALL",1991,85,258.5651,65.5231,324.0882,0.202176753
"30","TANNER","EBS","ALL",1991,95,237.7183,91.1901,328.9084,0.277250748
"31","TANNER","EBS","ALL",1991,105,257.6628,88.3867,346.0495,0.255416349
"32","TANNER","EBS","ALL",1991,115,173.8965,92.8072,266.7037,0.347978674
"33","TANNER","EBS","ALL",1991,125,143.5347,122.3957,265.9304,0.460254638
