"","SPECIES","REGION","DISTRICT","YEAR","A_EST","A_SE","B_EST","B_SE"
"1","TANNER","EBS","ALL",1990,0.05941187,0.004382892,109.71369,1.4089144
"2","TANNER","EBS","ALL",1991,0.06538948,0.008209962,119.29145,2.1786662
"3","TANNER","EBS","ALL",1992,0.08532604,0.005873821,106.08426,0.9162742
"4","TANNER","EBS","ALL",1993,0.05160973,0.004994124,101.90779,2.1245472
"5","TANNER","EBS","ALL",1994,0.06491745,0.005160221,96.99281,1.3902952
"6","TANNER","EBS","ALL",1995,0.08128221,0.006616244,95.87236,1.1373286
"7","TANNER","EBS","ALL",1996,0.10299201,0.009376017,102.83811,1.0038752
"8","TANNER","EBS","ALL",1997,0.10736554,0.013476054,111.98025,1.3277526
"9","TANNER","EBS","ALL",1998,0.0790866,0.003938621,99.81227,0.7151587
"10","TANNER","EBS","ALL",1999,0.09829431,0.008742228,108.89602,1.0276477
"11","TANNER","EBS","ALL",2000,0.06741691,0.006057533,106.88542,1.5133521
"12","TANNER","EBS","ALL",2001,0.06347099,0.004802869,109.11894,1.3533769
"13","TANNER","EBS","ALL",2002,0.0795159,0.004448662,100.27246,0.7990723
"14","TANNER","EBS","ALL",2003,0.07686778,0.004049434,102.75684,0.7783312
"15","TANNER","EBS","ALL",2004,0.06996163,0.009684936,106.80999,2.2469334
"16","TANNER","EBS","ALL",2005,0.07993704,0.005683672,96.56501,1.0101761
"17","TANNER","EBS","ALL",2006,0.0731507,0.003016047,102.93158,0.6400987
"18","TANNER","EBS","ALL",2007,0.06440386,0.007166406,105.94926,1.9615997
"19","TANNER","EBS","ALL",2008,0.07256279,0.006057577,97.72394,1.3065158
"20","TANNER","EBS","ALL",2009,0.07345584,0.007936576,109.22561,1.6703641
"21","TANNER","EBS","ALL",2010,0.07062074,0.007696292,97.2383,1.7524607
"22","TANNER","EBS","ALL",2011,0.08665384,0.016770753,106.83697,2.5365625
"23","TANNER","EBS","ALL",2012,0.0867517,0.007347639,108.73491,1.1088187
"24","TANNER","EBS","ALL",2014,0.0656737,0.005668323,104.39472,1.4922465
"25","TANNER","EBS","ALL",2016,0.08886899,0.005940915,98.46167,0.8543284
"26","TANNER","EBS","ALL",2017,0.06300081,0.004488838,103.7751,1.2839738
"27","TANNER","EBS","ALL",2018,0.08738848,0.006685749,92.96685,0.9942847
"28","TANNER","EBS","ALL",2019,0.09492329,0.010397675,95.73022,1.310564
"29","TANNER","EBS","ALL",2021,0.09417987,0.004581301,104.53459,0.5865978
"30","TANNER","EBS","ALL",2022,0.06897589,0.004848038,102.99234,1.1571475
"31","TANNER","EBS","ALL",2023,0.08274487,0.005102885,93.78756,0.8464464
"32","TANNER","EBS","ALL",2024,0.12284229,0.00474055,101.4196,0.3569082
"33","TANNER","EBS","ALL",2025,0.06052228,0.009302106,109.3696,2.8819945
"34","TANNER","EBS","E166",1990,0.07209035,0.006293141,116.01968,1.3749107
"35","TANNER","EBS","E166",1991,0.12069099,0.011398969,126.37964,0.8885132
"36","TANNER","EBS","E166",1992,0.08922904,0.018370096,124.50902,2.6202149
"37","TANNER","EBS","E166",1993,0.11745101,0.01506255,127.30023,1.2400514
"38","TANNER","EBS","E166",1994,0.05623967,0.008718841,92.47482,3.126593
"39","TANNER","EBS","E166",1995,0.13437395,0.013204383,106.62285,0.8298305
"40","TANNER","EBS","E166",1996,0.11595708,0.015905323,110.29072,1.3437878
"41","TANNER","EBS","E166",1997,0.17231778,0.030820323,114.83912,1.1577964
"42","TANNER","EBS","E166",1998,0.07499818,0.006482548,103.72638,1.3088703
"43","TANNER","EBS","E166",1999,0.12765833,0.014002549,112.87603,0.9756422
"44","TANNER","EBS","E166",2000,0.06226678,0.008250357,112.53501,2.4149314
"45","TANNER","EBS","E166",2001,0.07448799,0.007037627,118.12574,1.4402056
"46","TANNER","EBS","E166",2002,0.09511581,0.029918606,108.06565,3.7558594
"47","TANNER","EBS","E166",2003,0.09037687,0.007721458,115.65299,1.0736144
"48","TANNER","EBS","E166",2004,0.07531153,0.006869977,98.47975,1.3755854
"49","TANNER","EBS","E166",2005,0.06410419,0.007346007,96.83409,2.0296578
"50","TANNER","EBS","E166",2006,0.08788007,0.0083365,103.61741,1.22595
