"","SPECIES","DISTRICT","SIZE","YEAR","REGION","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"1","TANNER","ALL",1,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00156409337595171
"2","TANNER","W166",1,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00116178498196894
"3","TANNER","E166",1,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000250498026054108
"4","TANNER","ALL",2,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00165967612277545
"5","TANNER","W166",2,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00124893934913663
"6","TANNER","E166",2,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000269218324404209
"7","TANNER","ALL",3,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00176108968955029
"8","TANNER","W166",3,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00134262304278338
"9","TANNER","E166",3,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000289337229171779
"10","TANNER","ALL",4,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00186868847554532
"11","TANNER","W166",4,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0014433238514684
"12","TANNER","E166",4,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00031095916843376
"13","TANNER","ALL",5,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00198284825720871
"14","TANNER","W166",5,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00155156579232826
"15","TANNER","E166",5,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000334196357741546
"16","TANNER","ALL",6,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00210396745705322
"17","TANNER","W166",6,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00166791176868857
"18","TANNER","E166",6,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000359169379344351
"19","TANNER","ALL",7,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00223246848525956
"20","TANNER","W166",7,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0017929664174627
"21","TANNER","E166",7,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000386007804260473
"22","TANNER","ALL",8,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00236879915783381
"23","TANNER","W166",8,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00192737915907969
"24","TANNER","E166",8,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000414850860329776
"25","TANNER","ALL",9,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00251343419531393
"26","TANNER","W166",9,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00207184746340902
"27","TANNER","E166",9,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000445848149604152
"28","TANNER","ALL",10,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00266687680618018
"29","TANNER","W166",10,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00222712034589522
"30","TANNER","E166",10,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000479160418671233
"31","TANNER","ALL",11,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00282966035928318
"32","TANNER","W166",11,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00239400210887664
"33","TANNER","E166",11,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000514960385761066
"34","TANNER","ALL",12,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00300235014976119
"35","TANNER","W166",12,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00257335634383473
"36","TANNER","E166",12,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000553433628756662
"37","TANNER","ALL",13,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0031855452630717
