"","YEAR","SAM_type","SAM"
"1",1989,"ogive_SAM",94.2326229728938
"2",1989,"mean_SAM",83.3019055745165
"3",1989,"median_SAM",80
"4",1990,"ogive_SAM",98.486845744231
"5",1990,"mean_SAM",94.0263287806483
"6",1990,"median_SAM",96
"7",1991,"ogive_SAM",98.4080250156416
"8",1991,"mean_SAM",97.3270300333704
"9",1991,"median_SAM",101.5
"10",1992,"ogive_SAM",91.9294001406099
"11",1992,"mean_SAM",97.7355709465459
"12",1992,"median_SAM",103
"13",1993,"ogive_SAM",64.4360161829324
"14",1993,"mean_SAM",84.8414601293103
"15",1993,"median_SAM",83
"16",1994,"ogive_SAM",94.289333399441
"17",1994,"mean_SAM",79.3911605532171
"18",1994,"median_SAM",75
"19",1995,"ogive_SAM",92.0213521993913
"20",1995,"mean_SAM",80.5427257322682
"21",1995,"median_SAM",77
"22",1996,"ogive_SAM",96.1511379695121
"23",1996,"mean_SAM",84.0924760191847
"24",1996,"median_SAM",84
"25",1997,"ogive_SAM",98.894413209433
"26",1997,"mean_SAM",94.1081285444234
"27",1997,"median_SAM",95
"28",1998,"ogive_SAM",93.8230698504303
"29",1998,"mean_SAM",96.4834425664022
"30",1998,"median_SAM",100
"31",1999,"ogive_SAM",90.8273527186419
"32",1999,"mean_SAM",90.5914429530201
"33",1999,"median_SAM",95
"34",2000,"ogive_SAM",92.1462480098339
"35",2000,"mean_SAM",78.8799816765918
"36",2000,"median_SAM",74
"37",2001,"ogive_SAM",95.1039501621644
"38",2001,"mean_SAM",78.7826734147068
"39",2001,"median_SAM",75
"40",2002,"ogive_SAM",95.4316167480737
"41",2002,"mean_SAM",88.1541115583669
"42",2002,"median_SAM",89
"43",2003,"ogive_SAM",99.7132549434354
"44",2003,"mean_SAM",94.154643284177
"45",2003,"median_SAM",97
"46",2004,"ogive_SAM",93.9712370115853
"47",2004,"mean_SAM",89.9587982832618
"48",2004,"median_SAM",94
"49",2005,"ogive_SAM",87.1313460658401
"50",2005,"mean_SAM",87.8465998945704
"51",2005,"median_SAM",86
"52",2006,"ogive_SAM",86.8330661738148
"53",2006,"mean_SAM",77.2057761732852
"54",2006,"median_SAM",74
"55",2007,"ogive_SAM",94.63569605122
"56",2007,"mean_SAM",85.6609538002981
"57",2007,"median_SAM",86
"58",2009,"ogive_SAM",95.2008169171452
"59",2009,"mean_SAM",88.822445561139
"60",2009,"median_SAM",89
"61",2010,"ogive_SAM",89.0510921167058
"62",2010,"mean_SAM",95.8821661373893
"63",2010,"median_SAM",101
"64",2011,"ogive_SAM",88.1585313403527
"65",2011,"mean_SAM",89.8293618739903
"66",2011,"median_SAM",93
"67",2013,"ogive_SAM",89.7604227426243
"68",2013,"mean_SAM",86.0790346352248
"69",2013,"median_SAM",85
"70",2015,"ogive_SAM",92.7323276886534
"71",2015,"mean_SAM",90.0905323557539
"72",2015,"median_SAM",89
"73",2017,"ogive_SAM",85.991536524003
"74",2017,"mean_SAM",80.1844994617869
"75",2017,"median_SAM",76.9
"76",2018,"ogive_SAM",66.7407656149048
"77",2018,"mean_SAM",81.3476778656127
"78",2018,"median_SAM",81.2
"79",2019,"ogive_SAM",76.2857069026457
"80",2019,"mean_SAM",84.7078785621159
"81",2019,"median_SAM",83.7
"82",2021,"ogive_SAM",71.6772097102134
"83",2021,"mean_SAM",89.2835325762104
"84",2021,"median_SAM",90.1
"85",2022,"ogive_SAM",92.8225503486097
"86",2022,"mean_SAM",88.7536731634183
"87",2022,"median_SAM",92.05
"88",2023,"ogive_SAM",93.1074278988356
"89",2023,"mean_SAM",86.0786836200449
"90",2023,"median_SAM",90.3
"91",2024,"ogive_SAM",89.8360551521306
"92",2024,"mean_SAM",82.8848715509039
"93",2024,"median_SAM",81.4
"94",2025,"ogive_SAM",75.6715361942984
"95",2025,"mean_SAM",82.2564810481984
"96",2025,"median_SAM",82.35
"97",2008,"ogive_SAM",NA
"98",2008,"mean_SAM",NA
"99",2008,"median_SAM",NA
"100",2012,"ogive_SAM",NA
"101",2012,"mean_SAM",NA
"102",2012,"median_SAM",NA
"103",2014,"ogive_SAM",NA
"104",2014,"mean_SAM",NA
"105",2014,"median_SAM",NA
"106",2016,"ogive_SAM",NA
"107",2016,"mean_SAM",NA
"108",2016,"median_SAM",NA
"109",2020,"ogive_SAM",NA
"110",2020,"mean_SAM",NA
"111",2020,"median_SAM",NA
