"","YEAR","SPECIES","DISTRICT","CATEGORY","NSIM","ABUNDANCE","BIOMASS_MT","BIOMASS_LBS","ABUNDANCE_CI","BIOMASS_MT_CI","BIOMASS_LBS_CI","Estimator"
"1",1980,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"2",1980,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"3",1981,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"4",1981,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"5",1982,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"6",1982,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"7",1983,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"8",1983,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"9",1984,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"10",1984,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"11",1985,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"12",1985,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"13",1986,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"14",1986,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"15",1987,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"16",1987,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"17",1988,"SNOW","ALL","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"18",1988,"SNOW","ALL","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"19",1989,"SNOW","ALL","Immature male",300,2187.27652799919,252139.561170109,555872580.418652,559.757650471552,65443.1349480338,144277415.751139,"sdmTMB"
"20",1989,"SNOW","ALL","Mature male",300,757.134114386374,172890.19069653,381157625.505323,241.067304885257,44255.5820447006,97566857.3188325,"sdmTMB"
"21",1990,"SNOW","ALL","Immature male",300,1925.16266821553,306271.312601554,675212664.184711,563.249423153849,99163.2415921077,218617525.669819,"sdmTMB"
"22",1990,"SNOW","ALL","Mature male",300,668.426393118182,237728.8301773,524102356.874527,185.103163392583,69053.5973870936,152237122.919626,"sdmTMB"
"23",1991,"SNOW","ALL","Immature male",300,2868.59699742311,245930.177434172,542183232.566665,1085.8236973104,101729.376276184,224274884.245045,"sdmTMB"
"24",1991,"SNOW","ALL","Mature male",300,528.048893843198,167129.601616585,368457700.504501,187.38618978997,48416.2679148854,106739599.510649,"sdmTMB"
"25",1992,"SNOW","ALL","Immature male",300,2271.37196886948,120394.869853822,265425253.634278,1124.31584083809,41499.3033104038,91490302.8690811,"sdmTMB"
"26",1992,"SNOW","ALL","Mature male",300,532.062361221797,134870.491142035,297338535.791588,193.441908230483,30730.9341848268,67750112.6944159,"sdmTMB"
"27",1993,"SNOW","ALL","Immature male",300,3983.45852316625,184659.242132331,407103942.538391,1545.47173472257,75812.2985695581,167137508.440803,"sdmTMB"
"28",1993,"SNOW","ALL","Mature male",300,757.375631933887,116356.632037808,256522463.192688,264.091522032537,26241.7164624414,57853081.7492403,"sdmTMB"
"29",1994,"SNOW","ALL","Immature male",300,3329.44598399156,197750.230149657,435964630.863739,1134.1757988842,51041.5296763839,112527310.978323,"sdmTMB"
"30",1994,"SNOW","ALL","Mature male",300,491.307547054624,72699.5704630479,160275117.641526,150.5773007469,17788.4380621731,39216792.9592232,"sdmTMB"
"31",1995,"SNOW","ALL","Immature male",300,2618.76341490937,242231.673889463,534029427.985011,650.768969383375,55889.3082188231,123214833.218698,"sdmTMB"
"32",1995,"SNOW","ALL","Mature male",300,656.149989313078,108571.931977697,239360137.335859,154.605393032855,23335.3738851976,51445693.1566063,"sdmTMB"
"33",1996,"SNOW","ALL","Immature male",300,1474.18848121321,233045.657254025,513777727.905845,330.588998332057,53323.9422609137,117559169.39457,"sdmTMB"
"34",1996,"SNOW","ALL","Mature male",300,661.738972303426,147854.764406833,325963958.35943,150.753442249475,28368.2305867704,62541242.8934172,"sdmTMB"
"35",1997,"SNOW","ALL","Immature male",300,679.14639764065,124808.258041532,275155109.071905,216.570202427924,28661.6862848312,63188201.9638723,"sdmTMB"
"36",1997,"SNOW","ALL","Mature male",300,309.960170327004,118883.233109312,262092665.071313,72.4175405983141,38244.2604270684,84314161.6933919,"sdmTMB"
"37",1998,"SNOW","ALL","Immature male",300,535.247280784033,63883.5776595161,140839180.472804,221.059839163176,17958.5186678178,39591756.509965,"sdmTMB"
"38",1998,"SNOW","ALL","Mature male",300,231.65275200401,86682.8451277808,191102961.294922,48.2959729074295,17735.5938001634,39100291.3037615,"sdmTMB"
"39",1999,"SNOW","ALL","Immature male",300,277.737467172239,20230.4895564924,44600594.927319,91.8901091035943,5310.30699325745,11707222.9262973,"sdmTMB"
"40",1999,"SNOW","ALL","Mature male",300,80.9972239526849,25728.4752309161,56721578.5197541,21.900055302749,8530.84775920429,18807299.9534899,"sdmTMB"
"41",2000,"SNOW","ALL","Immature male",300,726.998478522984,44029.9315321816,97069383.0943013,274.707432602648,14627.4118798293,32247923.1293715,"sdmTMB"
"42",2000,"SNOW","ALL","Mature male",300,126.089710298931,22382.0377692961,49343946.7892645,43.4444430167799,6551.86766570368,14444395.67117,"sdmTMB"
"43",2001,"SNOW","ALL","Immature male",300,1136.0426827879,110238.608853795,243034530.880217,498.462478938587,41271.4064838466,90987876.3698056,"sdmTMB"
"44",2001,"SNOW","ALL","Mature male",300,261.780428947933,48990.5188916386,108005606.204617,100.425971826011,17016.1984562903,37514296.0546062,"sdmTMB"
"45",2002,"SNOW","ALL","Immature male",300,393.899417967953,47475.0701060402,104664613.529634,211.434009606106,24098.3441324471,53127754.6234902,"sdmTMB"
"46",2002,"SNOW","ALL","Mature male",300,119.04722340652,35279.3195649571,77777585.9963374,64.8985264529356,22298.5790755724,49159951.8650913,"sdmTMB"
"47",2003,"SNOW","ALL","Immature male",300,946.635281132828,66052.4610204099,145620749.794382,425.833732022736,22728.0752607921,50106828.8710243,"sdmTMB"
"48",2003,"SNOW","ALL","Mature male",300,130.03839610176,35285.8562275032,77791996.870458,46.5897394631761,9055.36443446615,19963661.2813091,"sdmTMB"
"49",2004,"SNOW","ALL","Immature male",300,1250.18397622095,61947.7682268341,136571451.205925,465.417894134895,20342.5733657169,44847697.4286783,"sdmTMB"
"50",2004,"SNOW","ALL","Mature male",300,185.927775988174,40506.3997848485,89301325.2953285,102.588840567013,15664.5620017345,34534447.7503771,"sdmTMB"
"51",2005,"SNOW","ALL","Immature male",300,1383.142713589,115330.728538437,254260733.130142,483.283744108639,39725.5850043432,87579923.3667524,"sdmTMB"
"52",2005,"SNOW","ALL","Mature male",300,465.880774027013,80813.3742303503,178162992.976163,174.539311042841,23943.4305646976,52786228.6675983,"sdmTMB"
