"","YEAR","SPECIES","DISTRICT","CATEGORY","NSIM","ABUNDANCE","BIOMASS_MT","BIOMASS_LBS","ABUNDANCE_CI","BIOMASS_MT_CI","BIOMASS_LBS_CI","Estimator"
"1",1975,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"2",1975,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"3",1975,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"4",1975,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"5",1976,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"6",1976,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"7",1976,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"8",1976,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"9",1977,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"10",1977,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"11",1977,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"12",1977,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"13",1978,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"14",1978,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"15",1978,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"16",1978,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"17",1979,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"18",1979,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"19",1979,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"20",1979,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"21",1980,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"22",1980,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"23",1980,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"24",1980,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"25",1981,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"26",1981,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"27",1981,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"28",1981,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"29",1982,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"30",1982,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"31",1982,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"32",1982,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"33",1983,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"34",1983,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"35",1983,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"36",1983,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"37",1984,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"38",1984,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"39",1984,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"40",1984,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"41",1985,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"42",1985,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"43",1985,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"44",1985,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"45",1986,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"46",1986,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"47",1986,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"48",1986,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"49",1987,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"50",1987,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"51",1987,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"52",1987,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"53",1988,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"54",1988,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"55",1988,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"56",1988,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"57",1989,"TANNER","E166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"58",1989,"TANNER","E166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"59",1989,"TANNER","W166","Immature male",300,0,0,0,0,0,0,"sdmTMB"
"60",1989,"TANNER","W166","Mature male",300,0,0,0,0,0,0,"sdmTMB"
"61",1990,"TANNER","E166","Immature male",300,145.059862436679,21652.9211614671,47736519.821679,55.6590669269458,7958.68056048049,17545887.2037036,"sdmTMB"
"62",1990,"TANNER","E166","Mature male",300,49.2421971985636,35343.7101910142,77919543.0271779,18.8609292828721,14342.2449793166,31619237.7294987,"sdmTMB"
"63",1990,"TANNER","W166","Immature male",300,120.965452160016,18074.6412454647,39847762.9715529,36.8801278987722,8309.72556265199,18319808.9567778,"sdmTMB"
"64",1990,"TANNER","W166","Mature male",300,53.3662830235531,28507.9968065311,62849374.6632718,26.0549203025543,17258.9836145847,38049545.7068311,"sdmTMB"
"65",1991,"TANNER","E166","Immature male",300,113.614011374213,28625.2719251539,63107922.0427677,50.5380512717407,17657.7263610016,38928622.98588,"sdmTMB"
"66",1991,"TANNER","E166","Mature male",300,47.1840302647425,33225.4401470648,73249556.9691024,42.9748355553348,28986.2887848805,63903827.9785896,"sdmTMB"
"67",1991,"TANNER","W166","Immature male",300,132.492380396963,16308.3308888269,35953715.2021033,58.0611173200328,8099.23142489664,17855748.8189158,"sdmTMB"
"68",1991,"TANNER","W166","Mature male",300,32.7647800591282,14727.9107644019,32469485.2437709,12.1051417176865,6155.35304611385,13570230.5709285,"sdmTMB"
"69",1992,"TANNER","E166","Immature male",300,60.0154716283032,24082.8454641461,53093585.9087453,61.3474955674427,28987.9169647489,63907417.50076,"sdmTMB"
"70",1992,"TANNER","E166","Mature male",300,48.6066935549498,36101.6121335755,79590430.7948916,44.0535687867429,32268.6093563204,71140106.1625458,"sdmTMB"
"71",1992,"TANNER","W166","Immature male",300,84.7017644537353,8720.4380085408,19225274.9060591,27.8480721798801,2848.11537132222,6279019.57725227,"sdmTMB"
"72",1992,"TANNER","W166","Mature male",300,18.4697319913663,7579.96159781539,16710954.811289,6.48191448733534,2858.69568757202,6302345.18180288,"sdmTMB"
"73",1993,"TANNER","E166","Immature male",300,30.2613683424957,13076.7007968462,28829190.3958753,21.2652906578898,10629.7925256608,23434681.0676312,"sdmTMB"
"74",1993,"TANNER","E166","Mature male",300,22.7253045689971,18602.5651318861,41011635.9141719,12.2147380284588,9632.19400704236,21235352.805962,"sdmTMB"
"75",1993,"TANNER","W166","Immature male",300,44.5223621568928,4622.51394156183,10190898.8053787,14.1988902844735,1403.79299142914,3094833.78529748,"sdmTMB"
"76",1993,"TANNER","W166","Mature male",300,18.0985390401127,7656.28805152895,16879225.8377914,7.12836830897937,3684.75834138612,8123501.59546591,"sdmTMB"
