"","k","AICc.mod.","logLik"
"1",13,48675.9601328818,-23660.6585970344
"2",15,48676.5206560146,-23675.1407133379
"3",12,48676.5682878309,-23698.0715528648
"4",6,48717.4188777264,-23701.8680709331
"5",10,48675.8776199861,-23705.7875132468
"6",11,48677.2463291601,-23714.0257379338
"7",14,48676.0094595574,-23731.4600931213
"8",9,48673.7051500602,-23732.8615650103
"9",8,48678.6325313888,-23751.0601636087
"10",7,48711.2851388379,-23772.8163101509
"11",5,48783.2914716173,-23784.49747817
"12",4,48932.8044654674,-23875.4274479928
