"","k","AICc.mod.","logLik"
"1",10,18062.4733732661,-8705.3985402051
"2",11,18063.0495966381,-8705.55669126632
"3",12,18063.503921501,-8705.75640735945
"4",13,18063.6342002091,-8705.80930161751
"5",15,18063.9628333123,-8705.86437918761
"6",14,18064.0609101846,-8706.14084242551
"7",9,18066.2782221091,-8709.80324426616
"8",8,18068.9293252632,-8710.84376396068
"9",7,18073.910027292,-8713.56989859096
"10",6,18086.372243106,-8719.99861865282
"11",5,18111.1248286689,-8735.18456896612
"12",4,18118.684593733,-8738.8146747712
