"","YEAR","SPECIES","DISTRICT","CATEGORY","ABUNDANCE","BIOMASS_MT","BIOMASS_LBS"
"1",1988,"SNOW","ALL","Immature male",1423136535.13191,104991.382814738,231466377.652559
"2",2008,"SNOW","ALL","Immature male",278622588.692966,22494.131922277,49591072.094703
"3",2012,"SNOW","ALL","Immature male",411141899.809932,32808.4740780226,72330304.1407487
"4",2014,"SNOW","ALL","Immature male",481970910.871382,37741.1807263258,83205060.8045418
"5",2016,"SNOW","ALL","Immature male",375535358.896345,25550.6333776435,56329504.3469179
"6",1989,"SNOW","ALL","Immature male",698534437.198713,52871.4850602173,116561672.014496
"7",1990,"SNOW","ALL","Immature male",622128651.722342,46624.7608343428,102790002.473682
"8",1991,"SNOW","ALL","Immature male",827182823.761523,62073.3078767169,136848218.757995
"9",1992,"SNOW","ALL","Immature male",399465713.377154,28150.5776265594,62061400.2536236
"10",1993,"SNOW","ALL","Immature male",1256029913.97208,86966.276504374,191727820.519501
"11",1994,"SNOW","ALL","Immature male",1147040619.18482,84165.8767866527,185553995.951593
"12",1995,"SNOW","ALL","Immature male",1217392528.12242,91672.447314052,202103151.148801
"13",1996,"SNOW","ALL","Immature male",477862446.010269,38580.4180059007,85055262.2961914
"14",1997,"SNOW","ALL","Immature male",182522749.728392,14336.4192725366,31606394.2445434
"15",1998,"SNOW","ALL","Immature male",176566110.068888,12960.0668509952,28572056.5603767
"16",1999,"SNOW","ALL","Immature male",103167907.527875,7759.28531797662,17106295.9413905
"17",2000,"SNOW","ALL","Immature male",314149228.7135,22452.1475709121,49498512.4439205
"18",2001,"SNOW","ALL","Immature male",439002076.96351,35222.4336972721,77652174.1255756
"19",2002,"SNOW","ALL","Immature male",139977853.738604,10677.1102895563,23538998.8803305
"20",2003,"SNOW","ALL","Immature male",252776231.769314,17924.0949726767,39515865.2529295
"21",2004,"SNOW","ALL","Immature male",349143121.145041,26339.8623185464,58069456.3238501
"22",2005,"SNOW","ALL","Immature male",620022813.886707,49128.9307672065,108310752.156627
"23",2006,"SNOW","ALL","Immature male",245730291.049182,19753.3522223975,43548687.1668449
"24",2007,"SNOW","ALL","Immature male",402197014.988532,28471.59980071,62769133.0008711
"25",2009,"SNOW","ALL","Immature male",169962530.321955,12114.5379890046,26707984.5038062
"26",2010,"SNOW","ALL","Immature male",529875408.883753,34655.0356839352,76401275.6297809
"27",2011,"SNOW","ALL","Immature male",516200281.793754,38296.9124570577,84430239.5497925
"28",2013,"SNOW","ALL","Immature male",241279584.305231,17320.4941643705,38185153.2563714
"29",2015,"SNOW","ALL","Immature male",212416182.979795,15634.0794001939,34467245.1174479
"30",2017,"SNOW","ALL","Immature male",735550875.175149,52519.8162300946,115786374.956208
"31",2018,"SNOW","ALL","Immature male",2048073108.69686,144171.999576738,317844851.704053
"32",2019,"SNOW","ALL","Immature male",497098767.017097,39495.5742276882,87072836.4052698
"33",2021,"SNOW","ALL","Immature male",6783694.36230601,547.696957724832,1207465.10291793
"34",2022,"SNOW","ALL","Immature male",101014716.305491,6812.56274929798,15019129.9498668
"35",2023,"SNOW","ALL","Immature male",147184072.123129,10462.3576656887,23065550.3876505
"36",2024,"SNOW","ALL","Immature male",617495780.040923,43261.4527274011,95375177.3368709
"37",2025,"SNOW","ALL","Immature male",749894193.153015,56253.7523446136,124018294.982815
