"","YEAR","SAM"
"1",1989,96.8020296072933
"2",1990,100.604648590147
"3",1991,100.670716312383
"4",1992,91.2901225615876
"5",1993,70.3627312702041
"6",1994,94.8980394885394
"7",1995,95.9625420804914
"8",1996,99.0927528520445
"9",1997,100.817005041175
"10",1998,96.0414360698047
"11",1999,91.8706358770833
"12",2000,90.5600830974768
"13",2001,94.3384979128595
"14",2002,95.1210577108757
"15",2003,98.4205046268694
"16",2004,92.7005493639789
"17",2005,86.8363527944084
"18",2006,92.7016875292172
"19",2007,95.1943838690205
"20",2009,97.5770510268166
"21",2010,90.1660222543614
"22",2011,88.5656534745513
"23",2013,93.155144959546
"24",2015,92.5001316306918
"25",2017,84.0505507104115
"26",2018,70.9570268610882
"27",2019,86.4334181619642
"28",2021,88.0994823960482
"29",2022,89.6399178971561
"30",2023,92.3271901572406
"31",2024,94.2522695952096
"32",2025,76.8304254884417
"33",2008,NA
"34",2012,NA
"35",2014,NA
"36",2016,NA
"37",2020,NA
