"","YEAR","DISTRICT","SAM","Estimator"
"1",1990,"E166",113.809173737274,"sdmTMB"
"2",1990,"W166",110.557875516699,"sdmTMB"
"3",1991,"E166",120.588294986201,"sdmTMB"
"4",1991,"W166",106.766469063475,"sdmTMB"
"5",1992,"E166",124.873216448308,"sdmTMB"
"6",1992,"W166",104.84039258753,"sdmTMB"
"7",1993,"E166",128.202023318457,"sdmTMB"
"8",1993,"W166",93.2586851945522,"sdmTMB"
"9",1994,"E166",112.738377713485,"sdmTMB"
"10",1994,"W166",90.4485045258069,"sdmTMB"
"11",1995,"E166",107.018688270602,"sdmTMB"
"12",1995,"W166",91.8637874724206,"sdmTMB"
"13",1996,"E166",114.476564419138,"sdmTMB"
"14",1996,"W166",101.845079530055,"sdmTMB"
"15",1997,"E166",112.548939038898,"sdmTMB"
"16",1997,"W166",107.299839148384,"sdmTMB"
"17",1998,"E166",109.072482557952,"sdmTMB"
"18",1998,"W166",91.5613659883623,"sdmTMB"
"19",1999,"E166",114.477318143997,"sdmTMB"
"20",1999,"W166",108.759221176686,"sdmTMB"
"21",2000,"E166",132.126917586886,"sdmTMB"
"22",2000,"W166",103.3409657909,"sdmTMB"
"23",2001,"E166",118.134613222631,"sdmTMB"
"24",2001,"W166",107.591091181067,"sdmTMB"
"25",2002,"E166",118.211969880133,"sdmTMB"
"26",2002,"W166",104.720940871537,"sdmTMB"
"27",2003,"E166",118.421154614801,"sdmTMB"
"28",2003,"W166",95.6302008075406,"sdmTMB"
"29",2004,"E166",109.584149138531,"sdmTMB"
"30",2004,"W166",119.37812579974,"sdmTMB"
"31",2005,"E166",91.5833685656455,"sdmTMB"
"32",2005,"W166",91.4934778892748,"sdmTMB"
"33",2006,"E166",117.591450774762,"sdmTMB"
"34",2006,"W166",112.65826608596,"sdmTMB"
"35",2007,"E166",121.703963250116,"sdmTMB"
"36",2007,"W166",109.771711213856,"sdmTMB"
"37",2008,"E166",116.875731887286,"sdmTMB"
"38",2008,"W166",98.3185869318664,"sdmTMB"
"39",2009,"E166",104.751034352389,"sdmTMB"
"40",2009,"W166",106.859141037346,"sdmTMB"
"41",2010,"E166",118.041505756202,"sdmTMB"
"42",2010,"W166",91.8689987379659,"sdmTMB"
"43",2011,"W166",111.305966243249,"sdmTMB"
"44",2012,"E166",100.71805261609,"sdmTMB"
"45",2012,"W166",109.747101101466,"sdmTMB"
"46",2014,"E166",108.664555923486,"sdmTMB"
"47",2014,"W166",108.583038737536,"sdmTMB"
"48",2016,"E166",113.697734897411,"sdmTMB"
"49",2016,"W166",90.3512992402242,"sdmTMB"
"50",2017,"E166",121.147885496733,"sdmTMB"
"51",2017,"W166",94.2269910668929,"sdmTMB"
"52",2018,"E166",108.982917308126,"sdmTMB"
"53",2018,"W166",99.7510237625714,"sdmTMB"
"54",2019,"E166",119.310295981982,"sdmTMB"
"55",2019,"W166",89.3957486670652,"sdmTMB"
"56",2021,"E166",113.667730679038,"sdmTMB"
"57",2021,"W166",100.455949477374,"sdmTMB"
"58",2022,"E166",110.757213889712,"sdmTMB"
"59",2022,"W166",102.616099787178,"sdmTMB"
"60",2023,"E166",105.837480699552,"sdmTMB"
"61",2023,"W166",90.8551232938141,"sdmTMB"
"62",2024,"E166",111.502500089264,"sdmTMB"
"63",2024,"W166",103.38218960555,"sdmTMB"
"64",2025,"E166",113.580011476694,"sdmTMB"
"65",2025,"W166",117.825939140006,"sdmTMB"
"66",2011,"E166",NA,"sdmTMB"
"67",2013,"E166",NA,"sdmTMB"
"68",2015,"E166",NA,"sdmTMB"
"69",2020,"E166",NA,"sdmTMB"
"70",2013,"W166",NA,"sdmTMB"
"71",2015,"W166",NA,"sdmTMB"
"72",2020,"W166",NA,"sdmTMB"
