"","YEAR","SAM","WEIGHT"
"1",1989,96.2342888010488,"Y"
"2",1990,100.173026757938,"Y"
"3",1991,100.255873184623,"Y"
"4",1992,92.0733070057928,"Y"
"5",1993,70.2214194699392,"Y"
"6",1994,94.3708125210208,"Y"
"7",1995,94.6874801194366,"Y"
"8",1996,98.572242034122,"Y"
"9",1997,100.586003785832,"Y"
"10",1998,96.0800562536665,"Y"
"11",1999,92.3375641390126,"Y"
"12",2000,91.3135367515058,"Y"
"13",2001,95.6064194836448,"Y"
"14",2002,95.9925094043961,"Y"
"15",2003,99.1929530171315,"Y"
"16",2004,92.87205539315,"Y"
"17",2005,85.8181435456793,"Y"
"18",2006,94.6601935979374,"Y"
"19",2007,95.0149457882821,"Y"
"20",2009,96.6258409599915,"Y"
"21",2010,84.9238993125398,"Y"
"22",2011,87.5671733926706,"Y"
"23",2013,91.3073738464468,"Y"
"24",2015,90.2333109027008,"Y"
"25",2017,83.6546846581985,"Y"
"26",2018,69.2367735407502,"Y"
"27",2019,87.9156849183403,"Y"
"28",2021,87.9066087398217,"Y"
"29",2022,91.361065216225,"Y"
"30",2023,91.9342923257242,"Y"
"31",2024,92.7433046294847,"Y"
"32",2025,75.9046280208389,"Y"
"33",1989,94.4887501032618,"N"
"34",1990,98.2862524316882,"N"
"35",1991,98.0245602890364,"N"
"36",1992,91.7588259643864,"N"
"37",1993,65.1201977816027,"N"
"38",1994,95.360485886606,"N"
"39",1995,91.6527364273786,"N"
"40",1996,95.6232359692894,"N"
"41",1997,99.430177782922,"N"
"42",1998,94.0982430152507,"N"
"43",1999,92.3143534004338,"N"
"44",2000,91.3671174597314,"N"
"45",2001,95.3996623431805,"N"
"46",2002,95.7829059586484,"N"
"47",2003,99.2949450089692,"N"
"48",2004,93.4134160450052,"N"
"49",2005,87.7624548430272,"N"
"50",2006,87.9596189987778,"N"
"51",2007,93.9494640529973,"N"
"52",2009,96.8003008684912,"N"
"53",2010,84.4226259105023,"N"
"54",2011,87.4964072137641,"N"
"55",2013,91.0670585044252,"N"
"56",2015,90.0860443355187,"N"
"57",2017,86.4998706360629,"N"
"58",2018,68.0046843849912,"N"
"59",2019,74.439315226244,"N"
"60",2021,87.5316071960619,"N"
"61",2022,90.8689180501306,"N"
"62",2023,92.5754103854389,"N"
"63",2024,92.3544268377806,"N"
"64",2025,76.0712324276956,"N"
"65",2008,NA,"N"
"66",2012,NA,"N"
"67",2014,NA,"N"
"68",2016,NA,"N"
"69",2020,NA,"N"
"70",2008,NA,"Y"
"71",2012,NA,"Y"
"72",2014,NA,"Y"
"73",2016,NA,"Y"
"74",2020,NA,"Y"
